user_id,first_name,last_name,username,email,password_hash,phone_number,created_at,user_type,date_of_birth,is_active
1,Mechelle,Smith,Smith38,mechelle.smith@example.com,hash7271,15-554-434-955,2023/09/04 15:35:51,passenger,2002/11/07,Yes
2,Tyesha,Brown,Brown334,tyesha.brown@example.com,hash861,15-555-936-710,2023/08/27 15:20:18,passenger,2001/09/26,Yes
3,Dean,Wilson,Wilson467,dean.wilson@example.com,hash5391,15-556-155-872,2023/07/05 22:36:37,driver,2003/09/22,Yes
4,Annelle,Robertson,Robertson407,annelle.robertson@example.com,hash5192,15-554-177-326,2024/01/17 22:37:29,passenger,2000/03/03,Yes
5,Margareta,Campbell,Campbell385,margareta.campbell@example.com,hash5735,15-552-554-510,2023/01/23 11:23:43,driver,2004/08/03,Yes
6,Meghann,Stewart,Stewart487,meghann.stewart@example.com,hash6266,15-554-763-122,2024/05/06 14:06:35,passenger,2002/04/07,Yes
7,Kendrick,Thomson,Thomson147,kendrick.thomson@example.com,hash467,15-555-421-590,2023/10/14 19:39:30,passenger,2000/03/19,No
8,Olivia,Anderson,Anderson223,olivia.anderson@example.com,hash4427,15-553-534-937,2023/06/15 17:08:01,passenger,2000/07/06,Yes
9,Charlotte,Scott,Scott52,charlotte.scott@example.com,hash5579,15-551-812-461,2023/12/27 20:24:09,passenger,2004/12/28,Yes
10,Augustus,Macdonald,Macdonald179,augustus.macdonald@example.com,hash8323,15-555-427-036,2023/08/26 17:28:54,passenger,2000/08/15,No
11,Shawanda,Reid,Reid371,shawanda.reid@example.com,hash1686,15-552-718-224,2023/11/02 13:41:48,passenger,2000/06/20,Yes
12,Loura,Murray,Murray399,loura.murray@example.com,hash770,15-553-710-626,2024/04/27 20:42:43,passenger,2003/04/02,Yes
13,Lorriane,Clark,Clark425,lorriane.clark@example.com,hash6950,15-558-906-166,2023/09/04 09:12:23,passenger,2002/05/17,Yes
14,Lacey,Taylor,Taylor73,lacey.taylor@example.com,hash2434,15-558-310-108,2023/08/15 15:42:46,passenger,2002/10/29,Yes
15,Christopher,Ross,Ross362,christopher.ross@example.com,hash5312,15-557-440-010,2024/01/21 20:52:57,passenger,2003/12/17,Yes
16,Sidney,Young,Young303,sidney.young@example.com,hash5052,15-559-674-163,2023/08/04 11:51:04,passenger,2002/03/03,Yes
17,Barbie,Paterson,Paterson103,barbie.paterson@example.com,hash6421,15-551-444-191,2023/05/27 17:51:48,passenger,2003/01/13,Yes
18,Elden,Watson,Watson229,elden.watson@example.com,hash1185,15-552-502-337,2023/04/16 08:13:03,driver,2004/04/01,Yes
19,Blossom,Mitchell,Mitchell325,blossom.mitchell@example.com,hash4556,15-554-486-669,2023/05/28 22:43:15,driver,2000/03/29,Yes
